demographics_key,sex,age_group,education_level,annual_income,race_ethnicity
4689,Male,70-74,Some college or technical school,"$50,000 to <$75,000",Black only (non-Hispanic)
4690,Male,45-49,Some college or technical school,"$25,000 to <$35,000",Multiracial (non-Hispanic)
4691,Male,60-64,High school graduate,,Black only (non-Hispanic)
4692,Female,60-64,College graduate or higher,"$100,000 to < $150,000",Other race (non-Hispanic)
4693,Male,35-39,Some college or technical school,"$20,000 to <$25,000",
4694,Male,55-59,Some college or technical school,"$20,000 to <$25,000",Other race (non-Hispanic)
4695,Female,35-39,Elementary,"$25,000 to <$35,000",Hispanic
4696,Male,60-64,College graduate or higher,"Less than $10,000",Black only (non-Hispanic)
4697,Male,25-29,Some high school,"$25,000 to <$35,000",White only (non-Hispanic)
4698,Male,50-54,Some high school,"$25,000 to <$35,000",Black only (non-Hispanic)
4699,Male,25-29,High school graduate,"$20,000 to <$25,000",Black only (non-Hispanic)
4700,Female,75-79,High school graduate,"$20,000 to <$25,000",Other race (non-Hispanic)
4701,Female,40-44,Some college or technical school,"$10,000 to <$15,000",Black only (non-Hispanic)
4702,Male,75-79,Some high school,,Multiracial (non-Hispanic)
4703,Male,40-44,High school graduate,"$20,000 to <$25,000",Hispanic
4704,Female,25-29,Some college or technical school,"$15,000 to <$20,000",White only (non-Hispanic)
4705,Male,35-39,Some college or technical school,,
4706,Male,50-54,High school graduate,"$15,000 to <$20,000",American Indian/Alaska Native (non-Hispanic)
4707,Male,60-64,Elementary,"$25,000 to <$35,000",American Indian/Alaska Native (non-Hispanic)
4708,Female,55-59,Some high school,"$25,000 to <$35,000",Black only (non-Hispanic)
4709,Female,40-44,Some high school,"$25,000 to <$35,000",White only (non-Hispanic)
4710,Female,,Some college or technical school,"$25,000 to <$35,000",Multiracial (non-Hispanic)
4711,Male,40-44,Refused,"$20,000 to <$25,000",Hispanic
4712,Female,45-49,Some high school,"$15,000 to <$20,000",
4713,Male,,Refused,"$150,000 to < $200,000",
4714,Female,45-49,College graduate or higher,,Multiracial (non-Hispanic)
4715,Female,18-24,High school graduate,"$150,000 to < $200,000",American Indian/Alaska Native (non-Hispanic)
4716,Female,18-24,Some college or technical school,"$10,000 to <$15,000",Asian (non-Hispanic)
4717,Female,55-59,Some high school,"$35,000 to <$50,000",American Indian/Alaska Native (non-Hispanic)
4718,Female,35-39,Elementary,"$35,000 to <$50,000",White only (non-Hispanic)
4719,Female,18-24,High school graduate,"$20,000 to <$25,000",Black only (non-Hispanic)
4720,Female,60-64,Some high school,,
4721,Female,50-54,College graduate or higher,,Other race (non-Hispanic)
4722,Female,60-64,Elementary,"$10,000 to <$15,000",White only (non-Hispanic)
4723,Female,25-29,High school graduate,"$150,000 to < $200,000",White only (non-Hispanic)
4724,Male,45-49,Some high school,"$25,000 to <$35,000",White only (non-Hispanic)
4725,Female,50-54,College graduate or higher,,American Indian/Alaska Native (non-Hispanic)
4726,Female,30-34,Some college or technical school,"$150,000 to < $200,000",Black only (non-Hispanic)
4727,Male,60-64,Elementary,"$25,000 to <$35,000",White only (non-Hispanic)
4728,Female,65-69,Some college or technical school,"$75,000 to < $100,000",
4729,Female,35-39,Some college or technical school,"$20,000 to <$25,000",Black only (non-Hispanic)
4730,Female,,College graduate or higher,"$35,000 to <$50,000",Black only (non-Hispanic)
4731,Female,,Some college or technical school,"$10,000 to <$15,000",
4732,Female,45-49,Some college or technical school,"$10,000 to <$15,000",Hispanic
4733,Female,18-24,Some college or technical school,"$15,000 to <$20,000",Hispanic
4734,Female,45-49,Some high school,"Less than $10,000",White only (non-Hispanic)
4735,Male,50-54,High school graduate,"$25,000 to <$35,000",Multiracial (non-Hispanic)
4736,Female,45-49,Some high school,"$20,000 to <$25,000",Black only (non-Hispanic)
4737,Male,40-44,High school graduate,"$10,000 to <$15,000",Hispanic
4738,Female,45-49,Some high school,"$10,000 to <$15,000",White only (non-Hispanic)
4739,Male,40-44,Elementary,,White only (non-Hispanic)
4740,Male,55-59,Some high school,"$10,000 to <$15,000",White only (non-Hispanic)
4741,Male,40-44,High school graduate,"Less than $10,000",
4742,Female,60-64,Some college or technical school,"$25,000 to <$35,000",
4743,Female,40-44,Some college or technical school,"$75,000 to < $100,000",Asian (non-Hispanic)
4744,Female,25-29,College graduate or higher,"$20,000 to <$25,000",Hispanic
4745,Female,65-69,Some high school,"$75,000 to < $100,000",White only (non-Hispanic)
4746,Male,18-24,College graduate or higher,"$35,000 to <$50,000",Black only (non-Hispanic)
4747,Female,50-54,High school graduate,"$10,000 to <$15,000",Black only (non-Hispanic)
4748,Female,25-29,Never attended school,,Hispanic
4749,Female,60-64,High school graduate,"$15,000 to <$20,000",Other race (non-Hispanic)
4750,Male,70-74,College graduate or higher,"$25,000 to <$35,000",Black only (non-Hispanic)
4751,Female,18-24,College graduate or higher,"$15,000 to <$20,000",White only (non-Hispanic)
4752,Female,75-79,High school graduate,"$50,000 to <$75,000",Black only (non-Hispanic)
4753,Female,60-64,College graduate or higher,"Less than $10,000",Black only (non-Hispanic)
4754,Male,60-64,Some college or technical school,,Multiracial (non-Hispanic)
4755,Male,25-29,Some high school,"$10,000 to <$15,000",White only (non-Hispanic)
4756,Male,55-59,High school graduate,"$15,000 to <$20,000",Black only (non-Hispanic)
4757,Male,55-59,Elementary,,White only (non-Hispanic)
4758,Male,25-29,Some high school,"$25,000 to <$35,000",Multiracial (non-Hispanic)
4759,Female,55-59,Some high school,"$20,000 to <$25,000",Black only (non-Hispanic)
4760,Male,50-54,Some high school,,
4761,Male,,Some high school,,White only (non-Hispanic)
4762,Male,25-29,High school graduate,"$25,000 to <$35,000",Other race (non-Hispanic)
4763,Female,40-44,High school graduate,"Less than $10,000",Multiracial (non-Hispanic)
4764,Female,70-74,High school graduate,"$75,000 to < $100,000",Multiracial (non-Hispanic)
4765,Male,35-39,College graduate or higher,"$20,000 to <$25,000",American Indian/Alaska Native (non-Hispanic)
4766,Female,,High school graduate,,American Indian/Alaska Native (non-Hispanic)
4767,Male,60-64,High school graduate,"$25,000 to <$35,000",Multiracial (non-Hispanic)
4768,Female,35-39,College graduate or higher,"$35,000 to <$50,000",Asian (non-Hispanic)
4769,Female,50-54,High school graduate,,
4770,Female,35-39,Some high school,"$20,000 to <$25,000",Multiracial (non-Hispanic)
4771,Male,60-64,College graduate or higher,"$35,000 to <$50,000",American Indian/Alaska Native (non-Hispanic)
4772,Male,65-69,College graduate or higher,"$100,000 to < $150,000",
4773,Male,35-39,High school graduate,"$35,000 to <$50,000",Asian (non-Hispanic)
4774,Male,50-54,High school graduate,"Less than $10,000",
4775,Male,70-74,Some college or technical school,"Less than $10,000",Other race (non-Hispanic)
4776,Female,60-64,Some high school,"$15,000 to <$20,000",Hispanic
4777,Male,65-69,Never attended school,,Hispanic
4778,Male,75-79,High school graduate,"$35,000 to <$50,000",Multiracial (non-Hispanic)
4779,Male,18-24,Elementary,"$200,000 or more",Hispanic
4780,Female,18-24,Some high school,"$50,000 to <$75,000",White only (non-Hispanic)
4781,Female,,College graduate or higher,"$25,000 to <$35,000",Black only (non-Hispanic)
4782,Female,60-64,High school graduate,"$10,000 to <$15,000",Other race (non-Hispanic)
4783,Male,80+,Some college or technical school,"$50,000 to <$75,000",American Indian/Alaska Native (non-Hispanic)
4784,Male,50-54,Some college or technical school,"$100,000 to < $150,000",Multiracial (non-Hispanic)
4785,Male,35-39,High school graduate,"$25,000 to <$35,000",Black only (non-Hispanic)
4786,Male,18-24,Some high school,"$25,000 to <$35,000",Multiracial (non-Hispanic)
4787,Female,70-74,Some high school,"$100,000 to < $150,000",White only (non-Hispanic)
4788,Female,25-29,High school graduate,"$25,000 to <$35,000",Black only (non-Hispanic)
4789,Female,35-39,Some high school,"$10,000 to <$15,000",White only (non-Hispanic)
4790,Female,60-64,Some college or technical school,"$10,000 to <$15,000",Multiracial (non-Hispanic)
4791,Male,65-69,Elementary,"$35,000 to <$50,000",White only (non-Hispanic)
4792,Female,50-54,High school graduate,"$75,000 to < $100,000",Black only (non-Hispanic)
4793,Male,18-24,Elementary,"$50,000 to <$75,000",Black only (non-Hispanic)
4794,Male,,High school graduate,"Less than $10,000",Black only (non-Hispanic)
4795,Female,40-44,College graduate or higher,"Less than $10,000",Black only (non-Hispanic)
4796,Male,65-69,Refused,,Hispanic
4797,Male,70-74,Some high school,"$20,000 to <$25,000",American Indian/Alaska Native (non-Hispanic)
4798,Female,55-59,Some high school,"$15,000 to <$20,000",White only (non-Hispanic)
4799,Male,45-49,High school graduate,"$25,000 to <$35,000",Other race (non-Hispanic)
4800,Female,55-59,Elementary,"Less than $10,000",Hispanic
4801,Female,65-69,Some college or technical school,"$10,000 to <$15,000",Multiracial (non-Hispanic)
4802,Female,75-79,High school graduate,"$15,000 to <$20,000",Hispanic
4803,Male,80+,High school graduate,"$25,000 to <$35,000",Multiracial (non-Hispanic)
4804,Male,45-49,High school graduate,,Black only (non-Hispanic)
4805,Male,40-44,Some college or technical school,"$200,000 or more",Multiracial (non-Hispanic)
4806,Female,45-49,College graduate or higher,"$75,000 to < $100,000",Native Hawaiian or other Pacific Islander only (non-Hispanic)
4807,Female,65-69,Some high school,"$50,000 to <$75,000",Black only (non-Hispanic)
4808,Female,60-64,College graduate or higher,"$200,000 or more",Black only (non-Hispanic)
4809,Female,25-29,Elementary,,Hispanic
4810,Female,75-79,High school graduate,,Asian (non-Hispanic)
4811,Male,60-64,Elementary,,Black only (non-Hispanic)
4812,Male,45-49,Some college or technical school,"$50,000 to <$75,000",Multiracial (non-Hispanic)
4813,Male,75-79,Some college or technical school,"$20,000 to <$25,000",Black only (non-Hispanic)
4814,Male,18-24,Some college or technical school,"$20,000 to <$25,000",White only (non-Hispanic)
4815,Female,30-34,Some college or technical school,"$150,000 to < $200,000",Asian (non-Hispanic)
4816,Male,80+,Some college or technical school,,Multiracial (non-Hispanic)
4817,Male,45-49,Some high school,"$10,000 to <$15,000",Black only (non-Hispanic)
4818,Male,55-59,Some high school,"$150,000 to < $200,000",
4819,Male,,College graduate or higher,"$200,000 or more",Black only (non-Hispanic)
4820,Male,55-59,High school graduate,"$10,000 to <$15,000",Asian (non-Hispanic)
4821,Female,75-79,College graduate or higher,"$100,000 to < $150,000",Native Hawaiian or other Pacific Islander only (non-Hispanic)
4822,Female,55-59,Elementary,"$20,000 to <$25,000",White only (non-Hispanic)
4823,Male,18-24,Refused,,White only (non-Hispanic)
4824,Male,45-49,High school graduate,"$150,000 to < $200,000",Hispanic
4825,Female,70-74,High school graduate,"Less than $10,000",White only (non-Hispanic)
4826,Male,60-64,Elementary,"$15,000 to <$20,000",White only (non-Hispanic)
4827,Male,40-44,College graduate or higher,"$15,000 to <$20,000",Multiracial (non-Hispanic)
4828,Female,35-39,High school graduate,,Multiracial (non-Hispanic)
4829,Female,75-79,High school graduate,"$15,000 to <$20,000",Other race (non-Hispanic)
4830,Female,50-54,Refused,,American Indian/Alaska Native (non-Hispanic)
4831,Female,25-29,Some college or technical school,,Multiracial (non-Hispanic)
4832,Male,35-39,Some college or technical school,"$25,000 to <$35,000",
4833,Female,55-59,Some high school,"$50,000 to <$75,000",
4834,Male,55-59,High school graduate,"$100,000 to < $150,000",
4835,Female,35-39,Elementary,"Less than $10,000",Hispanic
4836,Female,40-44,Some college or technical school,"Less than $10,000",Hispanic
4837,Male,,Some college or technical school,,Multiracial (non-Hispanic)
4838,Female,40-44,Some high school,"Less than $10,000",Black only (non-Hispanic)
4839,Female,40-44,Some college or technical school,"$15,000 to <$20,000",White only (non-Hispanic)
4840,Female,35-39,Elementary,,
4841,Male,65-69,Some high school,"$75,000 to < $100,000",Black only (non-Hispanic)
4842,Male,40-44,High school graduate,"$20,000 to <$25,000",Black only (non-Hispanic)
4843,Female,65-69,Some high school,,Multiracial (non-Hispanic)
4844,Female,40-44,Elementary,,White only (non-Hispanic)
4845,Female,25-29,Some high school,"$50,000 to <$75,000",White only (non-Hispanic)
4846,Female,80+,High school graduate,"$10,000 to <$15,000",
4847,Male,75-79,High school graduate,"$75,000 to < $100,000",
4848,Male,60-64,Elementary,"$35,000 to <$50,000",Black only (non-Hispanic)
4849,Male,40-44,Some college or technical school,"Less than $10,000",White only (non-Hispanic)
4850,Male,30-34,Elementary,"$200,000 or more",White only (non-Hispanic)
4851,Male,18-24,Some college or technical school,"$50,000 to <$75,000",Multiracial (non-Hispanic)
4852,Female,25-29,Some college or technical school,"Less than $10,000",White only (non-Hispanic)
4853,Male,55-59,Elementary,"$35,000 to <$50,000",White only (non-Hispanic)
4854,Male,30-34,College graduate or higher,"$35,000 to <$50,000",Asian (non-Hispanic)
4855,Female,65-69,High school graduate,"$15,000 to <$20,000",
4856,Female,55-59,College graduate or higher,"$20,000 to <$25,000",Other race (non-Hispanic)
4857,Male,40-44,Never attended school,"Less than $10,000",Hispanic
4858,Female,40-44,Some high school,"$15,000 to <$20,000",Black only (non-Hispanic)
4859,Female,65-69,Some high school,"$75,000 to < $100,000",American Indian/Alaska Native (non-Hispanic)
4860,Male,35-39,High school graduate,"Less than $10,000",Black only (non-Hispanic)
4861,Female,50-54,High school graduate,"$25,000 to <$35,000",Multiracial (non-Hispanic)
4862,Male,80+,Elementary,"$50,000 to <$75,000",
4863,Male,80+,College graduate or higher,"$25,000 to <$35,000",Multiracial (non-Hispanic)
4864,Male,30-34,High school graduate,"$50,000 to <$75,000",Multiracial (non-Hispanic)
4865,Male,60-64,Never attended school,"$25,000 to <$35,000",White only (non-Hispanic)
4866,Male,35-39,Elementary,,Native Hawaiian or other Pacific Islander only (non-Hispanic)
4867,Male,45-49,Elementary,,Hispanic
4868,Female,65-69,Elementary,"$15,000 to <$20,000",White only (non-Hispanic)
4869,Male,18-24,College graduate or higher,"$35,000 to <$50,000",Multiracial (non-Hispanic)
4870,Female,70-74,College graduate or higher,"$75,000 to < $100,000",
4871,Female,45-49,Some high school,"$10,000 to <$15,000",Multiracial (non-Hispanic)
4872,Male,18-24,College graduate or higher,,Black only (non-Hispanic)
4873,Male,40-44,High school graduate,"$15,000 to <$20,000",Black only (non-Hispanic)
4874,Male,50-54,Some college or technical school,,American Indian/Alaska Native (non-Hispanic)
4875,Male,75-79,High school graduate,"$15,000 to <$20,000",American Indian/Alaska Native (non-Hispanic)
4876,Male,45-49,Elementary,"$10,000 to <$15,000",Hispanic
4877,Male,60-64,College graduate or higher,"$75,000 to < $100,000",Multiracial (non-Hispanic)
4878,Female,18-24,College graduate or higher,"$50,000 to <$75,000",Black only (non-Hispanic)
4879,Male,70-74,College graduate or higher,"$200,000 or more",
4880,Male,45-49,Some high school,,White only (non-Hispanic)
4881,Female,30-34,Some college or technical school,"$10,000 to <$15,000",American Indian/Alaska Native (non-Hispanic)
4882,Female,55-59,Some high school,"$20,000 to <$25,000",Hispanic
4883,Female,18-24,Refused,,White only (non-Hispanic)
4884,Male,40-44,High school graduate,"$200,000 or more",Black only (non-Hispanic)
4885,Male,50-54,Some high school,"$150,000 to < $200,000",Multiracial (non-Hispanic)
4886,Female,65-69,Elementary,"$20,000 to <$25,000",White only (non-Hispanic)
4887,Female,75-79,Some college or technical school,"$35,000 to <$50,000",Multiracial (non-Hispanic)
4888,Male,70-74,Elementary,,
4889,Male,55-59,Some high school,,American Indian/Alaska Native (non-Hispanic)
4890,Male,65-69,Some college or technical school,"Less than $10,000",
4891,Male,80+,Some high school,"Less than $10,000",Black only (non-Hispanic)
4892,Female,45-49,Elementary,"$20,000 to <$25,000",Hispanic
4893,Female,25-29,College graduate or higher,"$200,000 or more",Multiracial (non-Hispanic)
4894,Female,75-79,High school graduate,"$10,000 to <$15,000",Multiracial (non-Hispanic)
4895,Male,55-59,Some college or technical school,,Asian (non-Hispanic)
4896,Female,35-39,College graduate or higher,,Black only (non-Hispanic)
4897,Male,50-54,Some high school,,White only (non-Hispanic)
4898,Male,60-64,Some college or technical school,"$20,000 to <$25,000",Black only (non-Hispanic)
4899,Female,40-44,Some high school,"$50,000 to <$75,000",
4900,Male,25-29,College graduate or higher,"$25,000 to <$35,000",Black only (non-Hispanic)
4901,Female,25-29,College graduate or higher,"$35,000 to <$50,000",American Indian/Alaska Native (non-Hispanic)
4902,Male,60-64,Some high school,"$10,000 to <$15,000",Other race (non-Hispanic)
4903,Male,30-34,College graduate or higher,"$50,000 to <$75,000",Black only (non-Hispanic)
4904,Male,25-29,High school graduate,"$35,000 to <$50,000",Black only (non-Hispanic)
4905,Male,40-44,Some college or technical school,"$200,000 or more",Hispanic
4906,Female,60-64,Elementary,"$35,000 to <$50,000",Multiracial (non-Hispanic)
4907,Female,35-39,Elementary,"$35,000 to <$50,000",Asian (non-Hispanic)
4908,Male,35-39,Some high school,"$15,000 to <$20,000",White only (non-Hispanic)
4909,Female,45-49,Some college or technical school,"$15,000 to <$20,000",Black only (non-Hispanic)
4910,Female,40-44,Some college or technical school,"$100,000 to < $150,000",Multiracial (non-Hispanic)
4911,Female,25-29,Some college or technical school,"$100,000 to < $150,000",American Indian/Alaska Native (non-Hispanic)
4912,Female,18-24,Some college or technical school,"Less than $10,000",Hispanic
4913,Female,50-54,High school graduate,"$35,000 to <$50,000",
4914,Male,65-69,Elementary,"Less than $10,000",White only (non-Hispanic)
4915,Female,25-29,College graduate or higher,,Multiracial (non-Hispanic)
4916,Female,18-24,High school graduate,"Less than $10,000",White only (non-Hispanic)
4917,Male,30-34,Refused,"$15,000 to <$20,000",Hispanic
4918,Male,70-74,High school graduate,"$200,000 or more",Black only (non-Hispanic)
4919,Male,40-44,Some college or technical school,,Black only (non-Hispanic)
4920,Female,70-74,High school graduate,"Less than $10,000",
4921,Female,65-69,College graduate or higher,"$10,000 to <$15,000",Multiracial (non-Hispanic)
4922,Male,80+,Some high school,,American Indian/Alaska Native (non-Hispanic)
4923,Male,65-69,Elementary,,Black only (non-Hispanic)
4924,Male,80+,Never attended school,,American Indian/Alaska Native (non-Hispanic)
4925,Male,65-69,Some high school,"$25,000 to <$35,000",Black only (non-Hispanic)
4926,Female,65-69,College graduate or higher,"$20,000 to <$25,000",Black only (non-Hispanic)
4927,Female,65-69,College graduate or higher,"$20,000 to <$25,000",Hispanic
4928,Female,18-24,College graduate or higher,"$10,000 to <$15,000",Black only (non-Hispanic)
4929,Female,18-24,College graduate or higher,"$25,000 to <$35,000",Multiracial (non-Hispanic)
4930,Male,35-39,Some college or technical school,"$100,000 to < $150,000",Black only (non-Hispanic)
4931,Female,35-39,College graduate or higher,"$20,000 to <$25,000",Black only (non-Hispanic)
4932,Female,,Refused,,Other race (non-Hispanic)
4933,Female,25-29,Elementary,"$25,000 to <$35,000",White only (non-Hispanic)
4934,Male,30-34,Some college or technical school,"$100,000 to < $150,000",American Indian/Alaska Native (non-Hispanic)
4935,Female,65-69,Some high school,"$10,000 to <$15,000",Black only (non-Hispanic)
4936,Male,18-24,College graduate or higher,"Less than $10,000",Hispanic
4937,Male,65-69,Some high school,"$35,000 to <$50,000",Black only (non-Hispanic)
4938,Male,55-59,Some high school,,Black only (non-Hispanic)
4939,Male,35-39,College graduate or higher,"$25,000 to <$35,000",Hispanic
4940,Female,35-39,Some college or technical school,"$75,000 to < $100,000",Multiracial (non-Hispanic)
4941,Male,30-34,Some college or technical school,,Other race (non-Hispanic)
4942,Female,75-79,College graduate or higher,"$100,000 to < $150,000",Black only (non-Hispanic)
4943,Male,35-39,Refused,,Hispanic
4944,Female,55-59,Elementary,"$25,000 to <$35,000",White only (non-Hispanic)
4945,Female,18-24,Elementary,"$50,000 to <$75,000",White only (non-Hispanic)
4946,Male,60-64,Some high school,"$15,000 to <$20,000",
4947,Female,,Some high school,"$20,000 to <$25,000",White only (non-Hispanic)
4948,Male,45-49,High school graduate,"$15,000 to <$20,000",Other race (non-Hispanic)
4949,Male,55-59,Elementary,"Less than $10,000",Native Hawaiian or other Pacific Islander only (non-Hispanic)
4950,Male,35-39,College graduate or higher,"$100,000 to < $150,000",Native Hawaiian or other Pacific Islander only (non-Hispanic)
4951,Male,65-69,High school graduate,"$10,000 to <$15,000",
4952,Male,18-24,Some college or technical school,"Less than $10,000",Black only (non-Hispanic)
4953,Female,30-34,Some college or technical school,"$20,000 to <$25,000",Native Hawaiian or other Pacific Islander only (non-Hispanic)
4954,Female,40-44,College graduate or higher,"$75,000 to < $100,000",
4955,Male,50-54,College graduate or higher,"$15,000 to <$20,000",White only (non-Hispanic)
4956,Female,40-44,College graduate or higher,"$15,000 to <$20,000",Black only (non-Hispanic)
4957,Female,40-44,Some high school,"$20,000 to <$25,000",Black only (non-Hispanic)
4958,Male,35-39,Some high school,"Less than $10,000",White only (non-Hispanic)
4959,Female,80+,College graduate or higher,"$10,000 to <$15,000",
4960,Female,65-69,College graduate or higher,"$15,000 to <$20,000",Multiracial (non-Hispanic)
4961,Female,80+,Elementary,"$100,000 to < $150,000",
4962,Male,45-49,College graduate or higher,"$20,000 to <$25,000",Hispanic
4963,Female,18-24,College graduate or higher,"$50,000 to <$75,000",American Indian/Alaska Native (non-Hispanic)
4964,Female,60-64,Elementary,"$35,000 to <$50,000",White only (non-Hispanic)
4965,Male,65-69,Some high school,"$75,000 to < $100,000",White only (non-Hispanic)
4966,Female,70-74,Some college or technical school,"$75,000 to < $100,000",Black only (non-Hispanic)
4967,Male,40-44,College graduate or higher,"$25,000 to <$35,000",White only (non-Hispanic)
4968,Female,35-39,Some high school,"Less than $10,000",Hispanic
4969,Male,55-59,College graduate or higher,"$100,000 to < $150,000",Native Hawaiian or other Pacific Islander only (non-Hispanic)
4970,Female,30-34,Some college or technical school,"$20,000 to <$25,000",Black only (non-Hispanic)
4971,Male,50-54,Some college or technical school,"$10,000 to <$15,000",White only (non-Hispanic)
4972,Female,18-24,Refused,"$25,000 to <$35,000",Hispanic
4973,Male,65-69,Some college or technical school,"$15,000 to <$20,000",Other race (non-Hispanic)
4974,Female,45-49,College graduate or higher,"$75,000 to < $100,000",Asian (non-Hispanic)
4975,Female,80+,High school graduate,"Less than $10,000",Other race (non-Hispanic)
4976,Female,40-44,Some college or technical school,"$50,000 to <$75,000",Multiracial (non-Hispanic)
4977,Female,25-29,Some college or technical school,"$15,000 to <$20,000",Black only (non-Hispanic)
4978,Female,35-39,Some high school,"$25,000 to <$35,000",Black only (non-Hispanic)
4979,Male,50-54,Some high school,"$75,000 to < $100,000",White only (non-Hispanic)
4980,Female,75-79,Some high school,"Less than $10,000",White only (non-Hispanic)
4981,Male,45-49,College graduate or higher,"$20,000 to <$25,000",Black only (non-Hispanic)
4982,Male,40-44,High school graduate,"$150,000 to < $200,000",Black only (non-Hispanic)
4983,Male,35-39,High school graduate,"$75,000 to < $100,000",Asian (non-Hispanic)
4984,Female,18-24,Some high school,,
4985,Male,55-59,Refused,,
4986,Female,35-39,High school graduate,"$100,000 to < $150,000",Multiracial (non-Hispanic)
4987,Female,50-54,Some college or technical school,"$10,000 to <$15,000",Black only (non-Hispanic)
4988,Male,75-79,Elementary,"$25,000 to <$35,000",White only (non-Hispanic)
4989,Female,35-39,Refused,"$35,000 to <$50,000",Hispanic
4990,Male,30-34,Some high school,"$15,000 to <$20,000",Hispanic
4991,Female,18-24,College graduate or higher,"$100,000 to < $150,000",Hispanic
4992,Female,18-24,College graduate or higher,"$50,000 to <$75,000",
4993,Female,25-29,College graduate or higher,"$35,000 to <$50,000",
4994,Female,18-24,Elementary,,Multiracial (non-Hispanic)
4995,Female,75-79,Elementary,"$20,000 to <$25,000",Black only (non-Hispanic)
4996,Male,,High school graduate,"$50,000 to <$75,000",Black only (non-Hispanic)
4997,Male,18-24,High school graduate,"$10,000 to <$15,000",Black only (non-Hispanic)
4998,Male,45-49,High school graduate,"$20,000 to <$25,000",Black only (non-Hispanic)
4999,Male,30-34,College graduate or higher,"Less than $10,000",
5000,Male,55-59,Some college or technical school,"$75,000 to < $100,000",Other race (non-Hispanic)
5001,Male,60-64,Some high school,"$35,000 to <$50,000",Other race (non-Hispanic)
5002,Male,25-29,High school graduate,"$10,000 to <$15,000",White only (non-Hispanic)
5003,Male,40-44,Elementary,"$50,000 to <$75,000",White only (non-Hispanic)
5004,Female,80+,College graduate or higher,,American Indian/Alaska Native (non-Hispanic)
5005,Female,,College graduate or higher,"$20,000 to <$25,000",Multiracial (non-Hispanic)
5006,Male,80+,High school graduate,"$15,000 to <$20,000",
5007,Male,80+,College graduate or higher,"$10,000 to <$15,000",White only (non-Hispanic)
5008,Male,80+,College graduate or higher,"$75,000 to < $100,000",Hispanic
5009,Male,80+,College graduate or higher,"$50,000 to <$75,000",Hispanic
5010,Female,75-79,College graduate or higher,,Asian (non-Hispanic)
5011,Female,70-74,College graduate or higher,"$20,000 to <$25,000",Hispanic
5012,Male,75-79,Elementary,"$15,000 to <$20,000",Hispanic
5013,Female,80+,Some college or technical school,"$25,000 to <$35,000",
5014,Male,80+,College graduate or higher,,American Indian/Alaska Native (non-Hispanic)
5015,Male,75-79,College graduate or higher,"$15,000 to <$20,000",Asian (non-Hispanic)
5016,Female,,Elementary,"$25,000 to <$35,000",White only (non-Hispanic)
5017,Male,70-74,Some college or technical school,"$20,000 to <$25,000",Native Hawaiian or other Pacific Islander only (non-Hispanic)
5018,Female,75-79,College graduate or higher,"$15,000 to <$20,000",Black only (non-Hispanic)
5019,Female,,College graduate or higher,"$15,000 to <$20,000",Native Hawaiian or other Pacific Islander only (non-Hispanic)
5020,Male,80+,Elementary,,Hispanic
5021,Female,80+,Some college or technical school,"$35,000 to <$50,000",Multiracial (non-Hispanic)
5022,Female,80+,College graduate or higher,"$50,000 to <$75,000",
5023,Female,65-69,High school graduate,"$25,000 to <$35,000",
5024,Female,70-74,Some high school,"$20,000 to <$25,000",American Indian/Alaska Native (non-Hispanic)
5025,Female,60-64,Never attended school,"$25,000 to <$35,000",Hispanic
5026,Male,80+,College graduate or higher,"$50,000 to <$75,000",Asian (non-Hispanic)
5027,Female,70-74,Elementary,"$20,000 to <$25,000",Hispanic
5028,Male,50-54,College graduate or higher,,Asian (non-Hispanic)
5029,Male,70-74,Some college or technical school,"$15,000 to <$20,000",Black only (non-Hispanic)
5030,Female,80+,Some college or technical school,"$50,000 to <$75,000",
5031,Male,60-64,College graduate or higher,,Multiracial (non-Hispanic)
5032,Male,40-44,Some high school,"Less than $10,000",Multiracial (non-Hispanic)
5033,Female,80+,High school graduate,,Asian (non-Hispanic)
5034,Female,,College graduate or higher,"$100,000 to < $150,000",
5035,Male,60-64,Some college or technical school,"$200,000 or more",Hispanic
5036,Female,70-74,College graduate or higher,"$150,000 to < $200,000",Asian (non-Hispanic)
5037,Female,80+,College graduate or higher,"$100,000 to < $150,000",Hispanic
5038,Female,60-64,Some college or technical school,"$50,000 to <$75,000",Asian (non-Hispanic)
5039,Male,55-59,Some college or technical school,"$20,000 to <$25,000",Multiracial (non-Hispanic)
5040,Male,55-59,College graduate or higher,"$75,000 to < $100,000",Native Hawaiian or other Pacific Islander only (non-Hispanic)
5041,Male,45-49,College graduate or higher,"$15,000 to <$20,000",White only (non-Hispanic)
5042,Female,80+,Some high school,"$35,000 to <$50,000",
5043,Male,35-39,High school graduate,"$15,000 to <$20,000",Hispanic
5044,Female,80+,Some high school,"$35,000 to <$50,000",Hispanic
5045,Male,80+,High school graduate,"$25,000 to <$35,000",Asian (non-Hispanic)
5046,Male,65-69,Some college or technical school,"$10,000 to <$15,000",Hispanic
5047,Female,75-79,High school graduate,"$20,000 to <$25,000",Asian (non-Hispanic)
5048,Male,75-79,College graduate or higher,,Asian (non-Hispanic)
5049,Male,70-74,College graduate or higher,"$50,000 to <$75,000",American Indian/Alaska Native (non-Hispanic)
5050,Female,80+,Some high school,"$100,000 to < $150,000",White only (non-Hispanic)
5051,Female,,College graduate or higher,"$10,000 to <$15,000",White only (non-Hispanic)
5052,Female,60-64,Some college or technical school,,Asian (non-Hispanic)
